hessonplumbing,2010-07-23 00:18:48,ohio,#statewaterheaters #getitin #corona #keepingpeoplesafe #plumber #pickeringtonohio new water heater swap out @ Picke… https://t.co/2FdEb5vKC4
Mycox_Little,2009-04-07 15:00:38,Simple Pleasures Lane,"""ain't no humans outside! (corona!)"" 😂😂😂🤣 @ Cleveland, Ohio https://t.co/1i7cIsrITb"
Balishoo999,2015-04-30 05:00:55,"Karachi, Pakistan","Salam Friends
Looking at the grave financial situation of middle &amp; lower class household in Karachi developed due t… https://t.co/dIFEJH5ME7"
LiezlGericke,2009-05-12 18:09:52,South Africa,"Thanks to COVID19 we are under unprecedented levels of stress. Thanks to corona, my Seanie was denied boarding in P… https://t.co/Wgrj6b2qXp"
Therealyze,2014-12-15 17:32:46,"Pretoria, South Africa","#tbt to the current #anime that I'm rewatching with the #corona threat keeping us home 

#codegeass… https://t.co/VpBvyNrpeZ"
KushRust,2016-08-20 20:44:48,"Marseille, France","@LHdeepMusic play my track ""Baby It’s For Life"" live from their Marseille balcony. That crazy ! Thanks for your sup… https://t.co/4JGDvI4A7G"
_CoronaCA,2010-06-21 00:27:45,"Corona, CA","current weather in Corona: moderate rain, 56°F
71% humidity, wind 3mph, pressure 1019mb"
JackBurtonMusic,2010-10-21 16:24:54,"Valencia, Spain",#lockdowndatenight There’s no one I’d rather be on quarantine with @thinkingofjack 🔥We got dolled up for a night on… https://t.co/xJ1bGhHWWK
MrJalPhone,2012-09-13 12:36:14,"Derbyshire, England","Four-Pinter from @townstreettap and #pizza from whitehartduffield 

Big night in #duffield style

#useitorloseit… https://t.co/3qJID8PasE"
pingponggirl,2010-07-26 06:28:11,Los Angeles,"Quarantine 🏓 training ! Adding some kicks 💥. 
•
•
• 
•
•
•
•
•
•
• 
•
•

•
•
•
•
• 
•
•
•
•
•
•
• 
•
•

#pingpong… https://t.co/E2xofP8FLe"
Idan__S,2010-02-11 18:56:47,Tel Aviv,"Message on the beach.
.
.
.
.
.
#telaviv #coronavirus #beach #nature #corona @ Tel Aviv, Israel https://t.co/7Rb8o9zqv0"
