United States,0,1,0
United States,1,0,0
آزاد کشمیر,0,0,1
South Africa,0,1,0
South Africa,1,0,0
France,0,0,1
United States,1,0,0
España,1,0,0
United Kingdom,1,0,0
United States,1,0,0
ישראל,1,0,0
Nederland,1,0,0
United States,1,0,0
United States,0,1,0
United States,1,0,0
United States,0,1,0
Italia,0,1,0
United States,0,0,1
United States,1,0,0
United Kingdom,0,0,1
United Kingdom,0,1,0
United Kingdom,0,1,0
United States,0,1,0
United States,0,1,0
United States,0,0,1
United States,0,1,0
Slovenija,0,1,0
Nigeria,0,1,0
Nigeria,0,1,0
Canada,1,0,0
United States,0,1,0
Nigeria,1,0,0
United Kingdom,0,1,0
Italia,0,0,1
عمان,1,0,0
United States,0,1,0
United States,1,0,0
Italia,0,0,1
United States,0,1,0
Italia,1,0,0
United States,0,1,0
Namibia,1,0,0
United States,0,1,0
United Kingdom,0,1,0
لبنان,1,0,0
Italia,1,0,0
United States,1,0,0
United Kingdom,0,1,0
United Kingdom,0,1,0
United States,0,0,1
South Africa,1,0,0
Nigeria,1,0,0
United States,1,0,0
United States,1,0,0
The Bahamas,0,0,1
United States,0,0,1
United States,0,1,0
United Kingdom,0,0,1
United Kingdom,0,1,0
India,0,1,0
United States,0,1,0
United States,0,1,0
Tanzania,1,0,0
Uganda,0,1,0
Italia,0,0,1
United States,0,0,1
United States,0,1,0
Uganda,0,1,0
United States,0,1,0
United States,1,0,0
United States,0,1,0
United States,0,1,0
United States,0,0,1
Italia,0,1,0
United States,1,0,0
United States,1,0,0
United States,0,1,0
United States,0,1,0
United States,1,0,0
United Kingdom,1,0,0
Canada,1,0,0
United States,0,1,0
United States,0,1,0
United States,1,0,0
Canada,0,1,0
United Kingdom,1,0,0
United Kingdom,1,0,0
United States,1,0,0
United States,0,1,0
United States,0,1,0
বাংলাদেশ,0,1,0
United States,0,1,0
Россия,0,1,0
الإمارات العربية المتحدة,0,1,0
Canada,1,0,0
United States,1,0,0
Canada,1,0,0
